Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1445.439770745929,-10.12473802641497,-75.82528473575817
1513.561248436209,-10.78268916189863,-77.55895752773532
1584.893192461115,-11.4938933824822,-79.3392616286236
1659.586907437562,-12.26623893273307,-81.17127084254064
1737.800828749376,-13.11373876923365,-83.08840565736037
1819.700858609984,-14.04559919502735,-85.12426703840379
1905.460717963249,-15.08205711668858,-87.30245557242134
1995.262314968881,-16.2556071449104,-89.73486279507171
2089.29613085404,-17.59910026706791,-92.46314329658497
2187.761623949554,-19.17214623618302,-95.79908927013571
2290.867652767775,-21.06890002707222,-100.103011896639
2398.832919019491,-23.44538248515851,-106.2279002406954
2511.886431509582,-26.54320751137563,-116.6311851571116
2630.267991895384,-30.54911464808501,-139.0173617403843
2754.228703338168,-32.79920274767395,172.3064491008229
2884.031503126609,-29.45205963444803,130.6362121807093
3019.951720402019,-25.64166442039166,112.8030929567385
3162.277660168381,-22.76680478095185,103.8797687152203
3311.311214825913,-20.54004649715971,98.37755240546119
3467.368504525316,-18.7392638417027,94.4062226823921
3630.780547701016,-17.23888679465209,91.25348815336844
3801.893963205613,-15.94580217312153,88.59768154676232
3981.071705534973,-14.81275657723704,86.26305740602415
4168.693834703357,-13.81086216157653,84.12625763165451
4365.158322401661,-12.90383019368321,82.11993832472372
4570.881896148752,-12.07948136779246,80.23780082700301
4786.300923226388,-11.32861187037696,78.40841885063401
5011.872336272725,-10.63146697266838,76.64995835726108
5248.074602497729,-9.989620856129065,74.92596172956044
5495.408738576246,-9.389326704245461,73.22533660890161
5754.399373371572,-8.826623436561578,71.53988470417582
6025.59586074358,-8.300551531986773,69.87231433031997
6309.573444801933,-7.804546405124498,68.23065330522394
6606.934480075965,-7.336325744673882,66.58770481055478
6918.309709189366,-6.894462874863177,64.95602709828648
7244.359600749903,-6.477712693613142,63.32163600547838
7585.775750291844,-6.082723062274829,61.70427044126885
7943.282347242818,-5.707971110682097,60.08034213035191
8317.637711026713,-5.354456846753161,58.46450942280725
8709.635899560806,-5.018909439635584,56.86679211867008
9120.108393559101,-4.702016380993757,55.26363718661405
9549.925860214364,-4.401928067717655,53.67095070567771
10000,-4.117825264594917,52.08780144832965
10471.285480509,-3.849033026381741,50.51999868921887
10964.78196143186,-3.597134372753007,48.95910629228464
11481.53621496883,-3.357393634979526,47.41102995551383
12022.64434617413,-3.133320464307951,45.89052783389025
12589.25411794167,-2.921495567003198,44.38043688839765
13182.56738556407,-2.723315306449489,42.8962709449266
13803.84264602886,-2.536015490643694,41.43415584403176
14454.39770745928,-2.360843445620719,39.98994988557934
15135.61248436209,-2.196664623678346,38.58491541662376
15848.93192461113,-2.043190224802266,37.20144460420542
16595.86907437561,-1.900469469623308,35.84282306783759
17378.00828749376,-1.766233621053925,34.52479250775444
18197.00858609984,-1.641611043815263,33.22483756770057
19054.60717963248,-1.526419164056624,31.96468171327854
19952.62314968881,-1.417837469742217,30.73330225098354
20892.9613085404,-1.318373059778725,29.53835893380912
21877.61623949554,-1.224296985662783,28.38000484734202
22908.67652767773,-1.13816456752619,27.25741300032982
23988.32919019491,-1.058029506949408,26.16282663652706
25118.86431509582,-0.9829939237067131,25.11244816644977
26302.67991895382,-0.9163552222206455,24.08676003027512
27542.28703338168,-0.8519133970210407,23.10522205095458
28840.31503126605,-0.7953702911022436,22.14484424060835
30199.51720402017,-0.7403946723886212,21.2313695493679
31622.77660168381,-0.6913610478983918,20.34508821744613
33113.1121482591,-0.6454699095998009,19.49211709357937
34673.68504525317,-0.6044385521011539,18.66191314442853
36307.80547701015,-0.5653498499381622,17.87341631927178
38018.93963205612,-0.5291104047157733,17.10788905675393
39810.71705534973,-0.4977247506995653,16.36646384151645
41686.93834703354,-0.4673449773028597,15.67885823645048
43651.58322401661,-0.4411947825019553,14.98379518323711
45708.81896148752,-0.4149093067057227,14.33422525701067
47863.00923226383,-0.3932553384846374,13.73415660950798
50118.72336272724,-0.3701139995361732,13.13973627734137
52480.74602497726,-0.3511524048975508,12.55697662386176
54954.08738576246,-0.3311981337760082,12.00349252276142
57543.99373371572,-0.3148988468496393,11.48831531934353
60255.95860743576,-0.2993100988705683,10.98351925055184
63095.73444801934,-0.2854052840653113,10.49843683942706
66069.34480075957,-0.2714112114596828,10.04418792109888
69183.09709189365,-0.2599348159890272,9.593295364008384
72443.59600749903,-0.2499515848119852,9.161231002823115
75857.75750291836,-0.2389696749923904,8.750389650137095
79432.82347242816,-0.2294909202659398,8.366595667540707
83176.37711026713,-0.2214608286829428,7.994583555544132
87096.35899560805,-0.2146045529653117,7.633671481851735
91201.08393559098,-0.2053404954286051,7.29586612165437
95499.25860214357,-0.1991347729845594,6.958837472492661
100000,-0.1937516781764924,6.655398511923629
