Freq.	V(vo)
1.07391283014436e+002	(-1.15338174705795e-001dB,-9.50921745556992e+000°)
1.07638597889559e+002	(-1.15864668538517e-001dB,-9.53080796641874e+000°)
1.07886482314144e+002	(-1.16393541444603e-001dB,-9.55244610181863e+000°)
1.08134937599825e+002	(-1.16924803954979e-001dB,-9.57413195737684e+000°)
1.08383965061256e+002	(-1.17458466645187e-001dB,-9.59586562882849e+000°)
1.08633566016120e+002	(-1.17994540135606e-001dB,-9.61764721203628e+000°)
1.08883741785133e+002	(-1.18533035091593e-001dB,-9.63947680299009e+000°)
1.09134493692054e+002	(-1.19073962223657e-001dB,-9.66135449780682e+000°)
1.09385823063689e+002	(-1.19617332287646e-001dB,-9.68328039272998e+000°)
1.09637731229900e+002	(-1.20163156084910e-001dB,-9.70525458412947e+000°)
1.09890219523612e+002	(-1.20711444462466e-001dB,-9.72727716850120e+000°)
1.10143289280821e+002	(-1.21262208313203e-001dB,-9.74934824246683e+000°)
1.10396941840596e+002	(-1.21815458576030e-001dB,-9.77146790277344e+000°)
1.10651178545092e+002	(-1.22371206236063e-001dB,-9.79363624629317e+000°)
1.10906000739557e+002	(-1.22929462324785e-001dB,-9.81585337002293e+000°)
1.11161409772333e+002	(-1.23490237920253e-001dB,-9.83811937108406e+000°)
1.11417406994870e+002	(-1.24053544147243e-001dB,-9.86043434672201e+000°)
1.11673993761729e+002	(-1.24619392177452e-001dB,-9.88279839430600e+000°)
1.11931171430590e+002	(-1.25187793229667e-001dB,-9.90521161132860e+000°)
1.12188941362261e+002	(-1.25758758569929e-001dB,-9.92767409540554e+000°)
1.12447304920684e+002	(-1.26332299511741e-001dB,-9.95018594427517e+000°)
1.12706263472941e+002	(-1.26908427416224e-001dB,-9.97274725579828e+000°)
1.12965818389261e+002	(-1.27487153692309e-001dB,-9.99535812795757e+000°)
1.13225971043033e+002	(-1.28068489796908e-001dB,-1.00180186588574e+001°)
1.13486722810804e+002	(-1.28652447235110e-001dB,-1.00407289467235e+001°)
1.13748075072293e+002	(-1.29239037560352e-001dB,-1.00634890899022e+001°)
1.14010029210398e+002	(-1.29828272374581e-001dB,-1.00862991868607e+001°)
1.14272586611199e+002	(-1.30420163328494e-001dB,-1.01091593361859e+001°)
1.14535748663969e+002	(-1.31014722121667e-001dB,-1.01320696365849e+001°)
1.14799516761182e+002	(-1.31611960502742e-001dB,-1.01550301868837e+001°)
1.15063892298517e+002	(-1.32211890269656e-001dB,-1.01780410860275e+001°)
1.15328876674866e+002	(-1.32814523269766e-001dB,-1.02011024330799e+001°)
1.15594471292347e+002	(-1.33419871400083e-001dB,-1.02242143272227e+001°)
1.15860677556302e+002	(-1.34027946607426e-001dB,-1.02473768677554e+001°)
1.16127496875311e+002	(-1.34638760888624e-001dB,-1.02705901540948e+001°)
1.16394930661201e+002	(-1.35252326290699e-001dB,-1.02938542857744e+001°)
1.16662980329046e+002	(-1.35868654911048e-001dB,-1.03171693624443e+001°)
